name,date
H5N1|A/chicken/Hokkaido/E012/2024|EPI3616513|2024-10-17,2024.10.17
H5N1|A/chicken/South_Dakota/24-037531-001/2024|EPI3901721|2024-12-11,2024.12.11
H5N5|A/red-tailed_hawk/Massachusetts/014126-021/2024|EPI3980839|2024-03-16,2024.3.16
H5N1|A/duck/Bangladesh/61904/2024|EPI3559771|2024-02-23,2024.2.23
H5N1|A/laying-hen/Italy/24VIR11319-1/2024|EPI3769497|2024-12-19,2024.12.19
H5N1|A/turkey/South_Dakota/24-035690-001/2024|EPI3823849|2024-12-01,2024.12.1
H5N1|A/large-billed_crow/Osaka/2702A051/2024|EPI3609591|2024-02-26,2024.2.26
H5N1|A/chicken/Slovakia/Vh-1997/2024|EPI3766344|2024-10-21,2024.10.21
H5N5|A/Kestral/Scotland/044473/2024|EPI3625726|2024-09-27,2024.9.27
H5N5|A/turkey_vulture/Massachusetts/014126-060/2024|EPI3980613|2024-05-01,2024.5.1
H5N1|A/domestic-duck/Bulgaria/860_24VIR11025-10/2024|EPI3873289|2024-05-09,2024.5.9
H5N1|A/Hooded_crane/Kagoshima/KU-24-25/2024_(H5N1)|EPI3872686|2024-11-22,2024.11.22
H5N1|A/mute-swan/Slovenia/PER2001TA-24_25VIR818-6/2024|EPI3942969|2024-11-21,2024.11.21
H5N1|A/snow_goose/Arkansas/AR24-102/2024|EPI4100415|2024-12-06,2024.12.6
H5N1|A/chicken/Yamaguchi/23A1T/2024|EPI3489120|2024-01-26,2024.1.26
H5N1|A/chicken/USA/24-031666-030/2024|EPI3649864|2024-10-25,2024.10.25
H5N1|A/domestic_duck/Czech_Republic/2268-9/2024|EPI3508753|2024-02-04,2024.2.4
H5N1|A/chicken/Alaska/24-034057-003/2024|EPI3819579|2024-11-12,2024.11.12
H5N1|A/mute_swan/Austria/24144842-003/2024|EPI3790010|2024-11-04,2024.11.4
H5N1|A/chicken/USA/24-031285-012/2024|EPI3649587|2024-10-16,2024.10.16
H5N1|A/White-naped_crane/Kagoshima/KU-24-16/2024_(H5N1)|EPI3756801|2024-11-21,2024.11.21
H5N1|A/chicken/Czech_Republic/17076-5/2024|EPI3680078|2024-11-05,2024.11.5
H5N1|A/chicken/USA/24-037219-003/2024|EPI3747017|2024-12-10,2024.12.10
H5N1|A/goose/Minnesota/24-038159-004/2024|EPI3901905|2024-12-17,2024.12.17
H5N1|A/chicken/Czech_Republic/17076-2/2024|EPI3680054|2024-11-05,2024.11.5
